Product name,Unit Cost,SubCategory ID,Brand,Product ID
BubbleNut Wash Laundry Detergent Liquid ( 5 Litres ),1399,Subcat1,BubbleNut Wash,OFF-TEN-10000025
Figo Delicate Fabric Washing Shampoo-1 ltr Liquid detergent ,499,Subcat1,Figo,OFF-SU-10000618
EcoSwachh 3R - Natural Fabric Wash ,1400,Subcat1,EcoSwachh,OFF-TEN-10001585
SacredEarth Natural Fabric Liquid Wash (750 ml),499,Subcat1,SacredEarth,OFF-PA-10001492
Comfort Morning Fresh Fabric Conditioner 860 ml Bottle,210,Subcat1,Comfort,FUR-FU-10003447
BubbleNut Wash Laundry Detergent Liquid (1.8 Litres),699,Subcat1,BubbleNut Wash,OFF-PA-10001968
Herbal Strategi Natural Fabric Wash Refill –5L ,1600,Subcat1,Herbal Strategi,TEC-CO-10002316
Comfort Perfume Deluxe After Wash Fabric Conditioner Desire 850 ml,220,Subcat1,Comfort,FUR-BO-10003966
Comfort Perfume Deluxe After Wash Fabric Conditioner Royale 850 ml,245,Subcat1,Comfort,OFF-FEL-10001541
Comfort Lily Fresh Fabric Conditioner 860 ml Bottle,210,Subcat1,Comfort,OFF-ST-10002161
Comfort Anti Bacterial Fabric Conditioner 860 ml Bottle,235,Subcat1,Comfort,OFF-AP-10001254
Comfort After Wash Anti Bacterial Fabric Conditioner (Fabric Softener) 220 ml,58,Subcat1,Comfort,OFF-AP-10002317
Softouch 2X French Perfume Fabric Conditioner - 800ml,219,Subcat1,Softouch,FUR-ADV-10002601
"SofTouch 2X French Perfume Fabric Conditioner Refill Pack by Wipro, 2000ml",398,Subcat1,Softouch,OFF-AR-10001529
"Softouch Ocean Breeze Fabric Conditioner by Wipro, 2L",369,Subcat1,Softouch,OFF-SU-10000484
Surf Excel Top Load Matic Liquid Detergent Pouch - 2 L,805,Subcat1,Surf Excel,TEC-AC-10001221
"Surf Excel Matic Front Load Detergent Powder, 2 kg ",215,Subcat1,Surf Excel,OFF-AR-10000980
Rin Advance Big Bar Soap (Pack Of 12 ),433,Subcat2,Rin,OFF-BI-10003012
Amber Deluxe Detergent Soap (4 Pack),200,Subcat2,Amber,OFF-LA-10001292
Rin Advance Big Bar Soap (Pack Of 8),355,Subcat2,Rin,OFF-EN-10004597
Rin Bar ( Pack Of 6),299,Subcat2,Rin,OFF-BI-10001249
Rin (250 g),260,Subcat2,Rin,OFF-BI-10001717
Rin advanced big bar (250 g),60,Subcat2,Rin,OFF-BI-10000719
Surf Excel Bar (250 g),75,Subcat2,Surf Excel,OFF-FEL-10001405
Surf Excel ( Pack Of 6),78,Subcat2,Surf Excel,FUR-BO-10000259
Tide Blue Detergent Bar (Pack of 8),299,Subcat2,Tide,TEC-LOG-10003896
Tide Blue Detergent Bar Soap (200 g),55,Subcat2,Tide,OFF-AP-10002568
"Vim Dish Cleaning GelLemon, 0.75 L",159,Subcat3,Vim,FUR-CH-10000863
"Vim Power Dish Cleaning GelLemon, 2 L",360,Subcat3,Vim,FUR-HAR-10001792
Vim Dishwash Bar3 x 200 g,59,Subcat3,Vim,FUR-CH-10002830
Pril Perfect Dishwash Bar500 g,52,Subcat3,Pril,OFF-FEL-10002867
Vim Anti Smell with Pudina Dishwash Bar800 g,93,Subcat3,Vim,TEC-MA-10002520
Vim Extra Anti Bac with Neem Dishwash Bar4 x 200 g,117,Subcat3,Vim,FUR-CH-10004063
Pril Dishwash Bar3 x 0.4 kg,104,Subcat3,Pril,TEC-SHA-10004874
"Vim Dishwash Anti Bac Liquid Dish Cleaning GelNeem, 2 L",344,Subcat3,Vim,FUR-TA-10001866
"Pril Active Dish Cleaning GelKraft Mint, 0.75 L",154,Subcat3,Pril,OFF-AR-10004151
"Pril Dishwashing Liquid Lime Dish Cleaning GelLime, 3 L",535,Subcat3,Pril,FUR-CH-10001270
"Pril Dish Cleaning GelTamarind, 0.425 L",112,Subcat3,Pril,FUR-HON-10002424
Vim Dishwash Anti Bac Liquid Neem Dishwashing Detergent500 ml,125,Subcat3,Vim,OFF-FEL-10002897
"Vim LIQUID 5 LITRE (NEW EDITION) Dish Cleaning Gel Dish...Lemon, 5 L",930,Subcat3,Vim,TEC-APP-10004912
"Fairy Imported Dishwashing Gel Lemon 750ML Pack of 2 Di...LEMON, 2 x 0.75 L",745,Subcat3,Fairy,OFF-AR-10001418
"Fairy dish wash 750ML Dish Cleaning GelLemon, 2 x 375",765,Subcat3,Fairy,TEC-KON-10002194
"Pril TAMARIND SHINE SPECIALIST INSTA CLEAN ACTIVE POWER...TAMARIND, 750 L",389,Subcat3,Pril,FUR-FU-10002210
"Pril KRAFT Dish Cleaning GelMINT, 750 ml",389,Subcat3,Pril,FUR-CH-10001465
